country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-11-2025 23:00:00",13.204880,79.097889,PM10,39,129,83
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-11-2025 23:00:00",13.204880,79.097889,NO2,20,23,22
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-11-2025 23:00:00",13.204880,79.097889,NH3,5,6,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-11-2025 23:00:00",14.465052,78.824187,PM10,56,66,63
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-11-2025 23:00:00",14.465052,78.824187,SO2,10,13,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-11-2025 23:00:00",16.9872867,81.7363176,PM10,86,152,123
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-11-2025 23:00:00",16.9872867,81.7363176,SO2,4,26,14
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-11-2025 23:00:00",26.349082,92.68449,NO2,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-11-2025 23:00:00",26.349082,92.68449,SO2,9,14,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-11-2025 23:00:00",26.446912,91.439057,NO2,11,18,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-11-2025 23:00:00",26.446912,91.439057,SO2,7,8,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-11-2025 23:00:00",24.82827,92.79525,NO2,16,23,20
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-11-2025 23:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-11-2025 23:00:00",26.987634,94.636574,PM2.5,13,63,36
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-11-2025 23:00:00",26.987634,94.636574,PM10,28,52,41
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-11-2025 23:00:00",13.615387,79.409230,CO,17,25,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-11-2025 23:00:00",16.536107,80.594233,NH3,5,5,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-11-2025 23:00:00",16.509717,80.612222,PM10,39,92,77
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-11-2025 23:00:00",16.509717,80.612222,NO2,59,130,87
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","15-11-2025 23:00:00",17.72,83.3,PM2.5,110,310,216
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","15-11-2025 23:00:00",17.72,83.3,CO,2,64,37
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-11-2025 23:00:00",25.265194,87.012947,PM2.5,48,98,80
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-11-2025 23:00:00",25.265194,87.012947,PM10,59,109,90
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-11-2025 23:00:00",25.265194,87.012947,NO2,5,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-11-2025 23:00:00",25.265194,87.012947,OZONE,15,113,70
